extra,frequency,country_id,indicator_id,price,date,source
,Annual,ARE,EF:br,9.865488082386277,2010-12-31,ECONOMIC_FREEDOM
,Annual,ALB,EF:br,5.841339880442401,2010-12-31,ECONOMIC_FREEDOM
,Annual,ARM,EF:br,4.39533676609488,2010-12-31,ECONOMIC_FREEDOM
,Annual,AGO,EF:br,6.838969936077513,2010-12-31,ECONOMIC_FREEDOM
,Annual,ARG,EF:br,5.3481295158587505,2010-12-31,ECONOMIC_FREEDOM
,Annual,AUT,EF:br,8.09441450047226,2010-12-31,ECONOMIC_FREEDOM
,Annual,AUS,EF:br,8.778183415008684,2010-12-31,ECONOMIC_FREEDOM
,Annual,AZE,EF:br,7.4779015447426955,2010-12-31,ECONOMIC_FREEDOM
,Annual,BIH,EF:br,5.269664230584078,2010-12-31,ECONOMIC_FREEDOM
,Annual,BGD,EF:br,6.614783406721307,2010-12-31,ECONOMIC_FREEDOM
,Annual,BEL,EF:br,8.251345071021603,2010-12-31,ECONOMIC_FREEDOM
,Annual,BFA,EF:br,6.973481853691235,2010-12-31,ECONOMIC_FREEDOM
,Annual,BGR,EF:br,4.39533676609488,2010-12-31,ECONOMIC_FREEDOM
,Annual,BHR,EF:br,9.596464247158831,2010-12-31,ECONOMIC_FREEDOM
,Annual,BDI,EF:br,6.928644547819994,2010-12-31,ECONOMIC_FREEDOM
,Annual,BEN,EF:br,6.973481853691235,2010-12-31,ECONOMIC_FREEDOM
,Annual,BRN,EF:br,8.923904659090217,2010-12-31,ECONOMIC_FREEDOM
,Annual,BHS,EF:br,9.349859064867006,2010-12-31,ECONOMIC_FREEDOM
,Annual,BWA,EF:br,8.296182376892844,2010-12-31,ECONOMIC_FREEDOM
,Annual,BLZ,EF:br,8.352229009231895,2010-12-31,ECONOMIC_FREEDOM
,Annual,CAN,EF:br,8.531578232716859,2010-12-31,ECONOMIC_FREEDOM
,Annual,COD,EF:br,6.23366630681576,2010-12-31,ECONOMIC_FREEDOM
,Annual,CAF,EF:br,4.350499460223639,2010-12-31,ECONOMIC_FREEDOM
,Annual,COG,EF:br,3.207148160506994,2010-12-31,ECONOMIC_FREEDOM
